,open,high,low,close,volume,Year,Month,Weekday,Day,rsi,sma_50,sma_200,macd,volatility
2011-08-19,10.9,10.9,10.9,10.9,0.0,2011,8,4,19,,,,,0.0
2011-08-20,11.85,11.85,11.15,11.69,1.0,2011,8,5,20,,,,,0.6999999999999993
2011-08-21,11.7,11.7,11.7,11.7,0.0,2011,8,6,21,,,,,0.0
2011-08-22,11.7,11.7,11.7,11.7,0.0,2011,8,0,22,,,,,0.0
2011-08-23,11.7,11.7,11.7,11.7,0.0,2011,8,1,23,,,,,0.0
2011-08-25,11.5,11.5,10.5,10.5,2.0,2011,8,3,25,,,,,1.0
2011-08-26,10.0,10.0,10.0,10.0,1.0,2011,8,4,26,,,,,0.0
2011-08-31,8.0,8.0,8.0,8.0,1.0,2011,8,2,31,,,,,0.0
2011-09-02,8.0,8.31,5.25,8.22,164.0,2011,9,4,2,,,,,3.0600000000000005
2011-09-03,8.12,8.88,8.0,8.88,79.0,2011,9,5,3,,,,,0.8800000000000008
2011-09-05,8.89,8.89,8.89,8.89,0.0,2011,9,0,5,,,,,0.0
2011-09-07,8.0,8.0,8.0,8.0,21.0,2011,9,2,7,,,,,0.0
2011-09-08,8.5,8.5,8.5,8.5,3.0,2011,9,3,8,,,,,0.0
2011-09-09,7.98,7.98,7.4,7.4,6.0,2011,9,4,9,25.996409892175976,,,,0.5800000000000001
2011-09-14,5.8,6.0,5.65,5.97,58.0,2011,9,2,14,20.35326172171746,,,,0.34999999999999964
2011-09-15,5.58,5.72,5.52,5.53,61.0,2011,9,3,15,18.987493398195042,,,,0.20000000000000018
2011-09-16,5.12,5.24,5.0,5.13,80.0,2011,9,4,16,17.816998411007546,,,,0.2400000000000002
2011-09-17,4.82,4.87,4.8,4.85,39.0,2011,9,5,17,17.025788219717597,,,,0.07000000000000028
2011-09-18,4.87,4.87,4.87,4.87,0.0,2011,9,6,18,17.30826067568617,,,,0.0
2011-09-19,4.87,4.92,4.81,4.92,119.0,2011,9,0,19,18.059290840748744,,,,0.11000000000000032
2011-09-20,4.9,4.9,4.9,4.9,20.0,2011,9,1,20,17.988911561450763,,,,0.0
2011-09-21,4.92,5.66,4.92,5.66,89.0,2011,9,2,21,29.26921721285494,,,,0.7400000000000002
2011-09-22,5.7,5.79,5.66,5.66,17.0,2011,9,3,22,29.269217212854926,,,,0.1299999999999999
2011-09-23,5.68,5.72,5.68,5.72,43.0,2011,9,4,23,30.14890494487946,,,,0.040000000000000036
2011-09-24,5.7,5.72,5.7,5.72,20.0,2011,9,5,24,30.148904944879447,,,,0.019999999999999574
2011-09-25,5.7,5.76,5.68,5.68,90.0,2011,9,6,25,29.8617518765967,,,-1.2180665421718713,0.08000000000000007
2011-09-26,6.05,6.05,6.05,6.05,12.0,2011,9,0,26,35.9397040131786,,,-1.1206004073216551,0.0
2011-09-27,6.06,6.06,4.8,4.8,39.0,2011,9,1,27,27.324771602955707,,,-1.1311827756604131,1.2599999999999998
2011-09-28,4.85,4.92,4.85,4.92,24.0,2011,9,2,28,29.08224308061044,,,-1.1170101836106037,0.07000000000000028
2011-09-29,4.9,4.91,4.82,4.82,83.0,2011,9,3,29,28.464498625216194,,,-1.1011540481458173,0.08999999999999986
2011-09-30,4.81,4.82,4.81,4.82,46.0,2011,9,4,30,28.46449862521621,,,-1.0761823859082114,0.010000000000000675
